,Topic,BM25,JM_LM,My_PRM
0,R101,0.4776773950686994,0.4776773950686994,0.21178118810106386
1,R102,0.6964903985124762,0.6937019412772938,0.6381083178391781
2,R103,0.16463857202368484,0.1625977556971542,0.16129143927446246
3,R104,0.6041338407429208,0.6040978724497104,0.5579518410079065
4,R105,0.6577393698898086,0.6709055564318721,0.3636791030537421
5,R106,0.11099183074989526,0.10551893171061527,0.11099183074989526
6,R107,0.2851605758582503,0.30277777777777776,0.040945165945165944
7,R108,0.11318646232439335,0.12280184693977797,0.09499779726861307
8,R109,0.4382267189260224,0.4382267189260224,0.41649193864382444
9,R110,0.3705555555555556,0.9,0.07319118646948834
10,R111,0.1860410830999066,0.1860410830999066,0.07321428571428572
11,R112,0.40803872053872053,0.8416666666666667,0.09982695976941501
12,R113,0.18313408748891777,0.2929461958132729,0.186657362756813
13,R114,0.48514492753623195,0.7100000000000001,0.48514492753623195
14,R115,0.4288888888888889,0.7254901960784313,0.10674603174603174
15,R116,0.3681053409401936,0.3681053409401936,0.3681053409401936
16,R117,0.18062678062678064,0.47692307692307695,0.18062678062678064
17,R118,0.30277777777777776,0.3131313131313131,0.06680555555555555
18,R119,0.11154642458990285,0.11154642458990285,0.11838578088578089
19,R120,0.2991328591110401,0.2991328591110401,0.2991328591110401
20,R121,0.15441559263502014,0.486476216749326,0.15697778847617258
21,R122,0.8922784622784624,0.8730192030192031,0.21169396631176962
22,R123,0.046511983370017114,0.046511983370017114,0.046511983370017114
23,R124,0.2945256132756133,0.316813973063973,0.1864822426248176
24,R125,0.4821530694514564,0.3880008387874521,0.4821530694514564
25,R126,0.7135554975900643,0.5587590384697247,0.7135554975900643
26,R127,0.452014652014652,0.3541791541791542,0.1500906500906501
27,R128,0.09999999999999999,0.23375,0.12204861111111111
28,R129,0.2861512461026926,0.2861512461026926,0.3029581017835218
29,R130,0.2970760233918129,0.2692982456140351,0.17456427015250545
30,R131,0.4866071428571428,0.46726190476190477,0.1241292232671543
31,R132,0.31154879953506953,0.19843507578469982,0.19091009906266657
32,R133,0.3823809523809524,0.7833333333333333,0.09635743321718933
33,R134,0.2013095238095238,0.22058201058201057,0.2287719298245614
34,R135,0.5198021402236784,0.5763919773154818,0.5198021402236784
35,R136,0.3149290964565563,0.41366946778711483,0.3149290964565563
36,R137,0.2880952380952381,0.44771241830065356,0.07012322472848788
37,R138,0.11602689685938042,0.19398557971282884,0.11602689685938042
38,R139,0.41111111111111115,0.7222222222222222,0.10056022408963584
39,R140,0.2662941879047518,0.2662941879047518,0.2662941879047518
40,R141,0.44591562533384294,0.5488943957192989,0.43411006977828737
41,R142,0.18258928571428573,0.18258928571428573,0.1617739898989899
42,R143,0.06105305370011252,0.06795853602918821,0.06105305370011252
43,R144,0.17100961303859852,0.4166666666666667,0.12003367003367003
44,R145,0.08629736235250551,0.08629736235250551,0.08629736235250551
45,R146,0.3392547692378009,0.3392547692378009,0.39377143717730767
46,R147,0.0961108317153399,0.07806361482832071,0.0961108317153399
47,R148,0.5537092942794697,0.3696610048448284,0.5537092942794697
48,R149,0.1904545454545455,0.1904545454545455,0.552063492063492
49,R150,0.4861111111111111,0.6527777777777777,0.3071654468238908
50,MAP,0.33003060663061745,0.3967750997663705,0.23990209954829367
